t,order,variance,autocorr
0.000000000000000000e+00,1.088579598446644259e-01,nan,nan
5.000000000000000278e-02,1.106994995695641942e-01,nan,nan
1.000000000000000056e-01,1.124487648574364201e-01,nan,nan
1.500000000000000222e-01,1.141083382403682844e-01,nan,nan
2.000000000000000111e-01,1.156760385379358991e-01,nan,nan
2.500000000000000000e-01,1.171448423247715975e-01,nan,nan
3.000000000000000444e-01,1.185033517035713468e-01,nan,nan
3.500000000000000333e-01,1.197366702379892567e-01,nan,nan
4.000000000000000222e-01,1.208279803826831644e-01,nan,nan
4.500000000000000111e-01,1.217599720010124620e-01,nan,nan
5.000000000000000000e-01,1.225161041397080236e-01,nan,nan
5.500000000000000444e-01,1.230817688570082363e-01,nan,nan
6.000000000000000888e-01,1.234452454900916846e-01,nan,nan
6.500000000000000222e-01,1.235980953517765712e-01,nan,nan
7.000000000000000666e-01,1.235359147667660085e-01,nan,nan
7.500000000000000000e-01,1.232585398123940829e-01,nan,nan
8.000000000000000444e-01,1.227699979916117429e-01,nan,nan
8.500000000000000888e-01,1.220784193202192475e-01,nan,nan
9.000000000000000222e-01,1.211960618632068470e-01,nan,nan
9.500000000000000666e-01,1.201388296989239213e-01,nan,nan
1.000000000000000000e+00,1.189257192770547394e-01,nan,nan
1.050000000000000044e+00,1.175779573516705923e-01,nan,nan
1.100000000000000089e+00,1.161179946765680121e-01,nan,nan
1.150000000000000133e+00,1.145681691977610966e-01,nan,nan
1.200000000000000178e+00,1.129498993905531101e-01,nan,nan
1.250000000000000000e+00,1.112812814111873161e-01,nan,nan
1.300000000000000044e+00,1.095757770341861809e-01,nan,nan
1.350000000000000089e+00,1.078415059464228887e-01,nan,nan
1.400000000000000133e+00,1.060809528623997272e-01,nan,nan
1.450000000000000178e+00,1.042904804084047871e-01,nan,nan
1.500000000000000000e+00,1.024603617917164144e-01,nan,nan
1.550000000000000044e+00,1.005781262572275347e-01,nan,nan
1.600000000000000089e+00,9.863094853052029043e-02,nan,nan
1.650000000000000133e+00,9.660808234967380170e-02,nan,nan
1.700000000000000178e+00,9.450338910490926891e-02,nan,nan
1.750000000000000000e+00,9.231857204803418926e-02,nan,nan
1.800000000000000044e+00,9.006469406556716351e-02,nan,nan
1.850000000000000089e+00,8.776275586855453170e-02,nan,nan
1.900000000000000133e+00,8.544329257417311585e-02,nan,nan
1.950000000000000178e+00,8.314437763144934268e-02,nan,nan
2.000000000000000000e+00,8.090909714956832921e-02,nan,nan
2.050000000000000266e+00,7.878299522198456417e-02,nan,nan
2.100000000000000089e+00,7.681166517445482678e-02,nan,nan
