t,order
0.000000000000000000e+00,1.088579598446644259e-01
5.000000000000000278e-02,1.113805240052549855e-01
1.000000000000000056e-01,1.138303569371131307e-01
1.500000000000000222e-01,1.162191748721670415e-01
2.000000000000000111e-01,1.185515116798895180e-01
2.500000000000000000e-01,1.208245372576509657e-01
3.000000000000000444e-01,1.230287129997716666e-01
3.500000000000000333e-01,1.251492005739338886e-01
4.000000000000000222e-01,1.271679492397277678e-01
4.500000000000000111e-01,1.290655247279728357e-01
5.000000000000000000e-01,1.308228006918892850e-01
5.500000000000000444e-01,1.324223423036187119e-01
6.000000000000000888e-01,1.338491247002194517e-01
6.500000000000000222e-01,1.350914282968845026e-01
7.000000000000000666e-01,1.361412595971255024e-01
7.500000000000000000e-01,1.369946226593426741e-01
8.000000000000000444e-01,1.376518356509423557e-01
8.500000000000000888e-01,1.381177999108464671e-01
9.000000000000000222e-01,1.384021761292542618e-01
9.500000000000000666e-01,1.385190697803762305e-01
1.000000000000000000e+00,1.384868980053275411e-01
1.050000000000000044e+00,1.383278069432438140e-01
1.100000000000000089e+00,1.380665590181043290e-01
1.150000000000000133e+00,1.377292199353097601e-01
1.200000000000000178e+00,1.373413610580105360e-01
1.250000000000000000e+00,1.369262666378955329e-01
1.300000000000000044e+00,1.365018774237581889e-01
1.350000000000000089e+00,1.360790552057278280e-01
1.400000000000000133e+00,1.356603829357482527e-01
1.450000000000000178e+00,1.352382362207118494e-01
1.500000000000000000e+00,1.347950946139576389e-01
1.550000000000000044e+00,1.343056262044081961e-01
1.600000000000000089e+00,1.337392706514242968e-01
1.650000000000000133e+00,1.330636134406538162e-01
1.700000000000000178e+00,1.322491533208598746e-01
1.750000000000000000e+00,1.312721782290732220e-01
1.800000000000000044e+00,1.301190575018037476e-01
1.850000000000000089e+00,1.287872253059309524e-01
1.900000000000000133e+00,1.272841432679549523e-01
1.950000000000000178e+00,1.256255976517965667e-01
2.000000000000000000e+00,1.238341364352909396e-01
2.050000000000000266e+00,1.219354979192961430e-01
2.100000000000000089e+00,1.199563650207285254e-01
2.149999999999999911e+00,1.179219057239067614e-01
2.200000000000000178e+00,1.158538202121079802e-01
2.250000000000000000e+00,1.137700967897467830e-01
2.300000000000000266e+00,1.116857942627957762e-01
2.350000000000000089e+00,1.096148268559667960e-01
2.400000000000000355e+00,1.075727345371274152e-01
2.450000000000000178e+00,1.055790675304490028e-01
2.500000000000000000e+00,1.036596750667381356e-01
2.550000000000000266e+00,1.018491511894556167e-01
2.600000000000000089e+00,1.001908009920346176e-01
2.650000000000000355e+00,9.873530703826600974e-02
2.700000000000000178e+00,9.753850342801519135e-02
2.750000000000000000e+00,9.665764982538807559e-02
2.800000000000000266e+00,9.614730753470406011e-02
2.850000000000000089e+00,9.605454583871191054e-02
2.900000000000000355e+00,9.641553349156593844e-02
2.950000000000000178e+00,9.725308661735676541e-02
3.000000000000000000e+00,9.857485310538599554e-02
3.050000000000000266e+00,1.003734481223520214e-01
3.100000000000000089e+00,1.026275754007618529e-01
3.150000000000000355e+00,1.053043080601178960e-01
3.200000000000000178e+00,1.083615651941039343e-01
3.250000000000000000e+00,1.117501838105095374e-01
3.300000000000000266e+00,1.154166315866675535e-01
3.350000000000000089e+00,1.193049226579112471e-01
3.400000000000000355e+00,1.233580782005685300e-01
3.450000000000000178e+00,1.275195917684606439e-01
3.500000000000000000e+00,1.317343360446470713e-01
3.550000000000000266e+00,1.359497368155145325e-01
3.600000000000000089e+00,1.401173956225283956e-01
3.650000000000000355e+00,1.441932798547320704e-01
3.700000000000000178e+00,1.481377703603363738e-01
3.750000000000000000e+00,1.519162898518558735e-01
3.800000000000000266e+00,1.554990007033587029e-01
3.850000000000000089e+00,1.588604537900810965e-01
3.900000000000000355e+00,1.619790708973211091e-01
3.950000000000000178e+00,1.648362580354781060e-01
4.000000000000000000e+00,1.674160200935485010e-01
4.049999999999999822e+00,1.697051579966181722e-01
4.100000000000000533e+00,1.716932577287442752e-01
4.150000000000000355e+00,1.733740755068972073e-01
4.200000000000000178e+00,1.747456102886434659e-01
4.250000000000000000e+00,1.758098814458898540e-01
4.299999999999999822e+00,1.765728283713046964e-01
