t,order
0,0.0660016
0.05,0.0701326
0.1,0.0745199
0.15,0.0791775
0.2,0.0841108
0.25,0.0893145
0.3,0.0947732
0.35,0.100461
0.4,0.106344
0.45,0.112382
0.5,0.118528
0.55,0.124735
0.6,0.130956
0.65,0.137142
0.7,0.14325
0.75,0.149236
0.8,0.155065
0.85,0.160701
0.9,0.166117
0.95,0.171289
1,0.1762
1.05,0.180838
1.1,0.1852
1.15,0.189288
1.2,0.193109
1.25,0.196677
1.3,0.200009
1.35,0.203124
1.4,0.206045
1.45,0.208795
1.5,0.211398
1.55,0.213878
1.6,0.216261
1.65,0.218569
1.7,0.220828
1.75,0.223059
1.8,0.225281
1.85,0.227508
1.9,0.229752
1.95,0.232015
2,0.234296
2.05,0.236586
2.1,0.238876
2.15,0.24115
2.2,0.243395
2.25,0.245598
2.3,0.247752
2.35,0.249849
2.4,0.251886
2.45,0.253862
2.5,0.255772
2.55,0.257612
2.6,0.25937
2.65,0.26103
2.7,0.262569
2.75,0.263957
2.8,0.265161
2.85,0.266143
2.9,0.266866
2.95,0.267294
3,0.267399
3.05,0.267162
3.1,0.266574
3.15,0.265637
3.2,0.264365
3.25,0.262783
3.3,0.260925
3.35,0.258837
3.4,0.25657
3.45,0.254184
3.5,0.251743
3.55,0.249317
3.6,0.246971
3.65,0.244769
3.7,0.242765
3.75,0.241
3.8,0.239507
3.85,0.238305
3.9,0.237404
3.95,0.236809
4,0.23652
4.05,0.236536
4.1,0.23686
4.15,0.237493
4.2,0.238442
4.25,0.239717
4.3,0.24133
4.35,0.243297
4.4,0.245633
4.45,0.248355
4.5,0.251476
4.55,0.255002
4.6,0.258934
4.65,0.263258
4.7,0.267952
4.75,0.272978
4.8,0.278287
4.85,0.28382
4.9,0.289509
4.95,0.295284
5,0.301075
5.05,0.306813
5.1,0.312436
5.15,0.317887
5.2,0.323115
5.25,0.328076
5.3,0.332732
5.35,0.33705
5.4,0.341006
5.45,0.344584
5.5,0.347773
5.55,0.350574
5.6,0.352993
5.65,0.355043
5.7,0.356742
5.75,0.358115
5.8,0.359186
5.85,0.359984
5.9,0.360537
5.95,0.360877
6,0.361033
6.05,0.361036
6.1,0.360913
6.15,0.360694
6.2,0.360405
6.25,0.360072
6.3,0.35972
6.35,0.35937
6.4,0.359044
6.45,0.358759
6.5,0.358532
6.55,0.358374
6.6,0.358298
6.65,0.35831
6.7,0.358417
6.75,0.358624
6.8,0.358936
6.85,0.359357
6.9,0.359891
6.95,0.360545
7,0.361321
7.05,0.362227
7.1,0.363267
7.15,0.364447
7.2,0.365769
7.25,0.367236
7.3,0.368845
7.35,0.370591
7.4,0.372463
7.45,0.374446
7.5,0.376523
7.55,0.378673
7.6,0.380876
7.65,0.383111
7.7,0.385362
7.75,0.387614
7.8,0.389855
7.85,0.392075
7.9,0.394262
7.95,0.396403
8,0.398476
8.05,0.400451
8.1,0.40229
8.15,0.403945
8.2,0.405365
8.25,0.4065
8.3,0.407302
8.35,0.407739
8.4,0.407786
8.45,0.407437
8.5,0.406699
8.55,0.40559
8.6,0.404141
8.65,0.402387
8.7,0.400372
8.75,0.398141
8.8,0.395738
8.85,0.39321
8.9,0.3906
8.95,0.38795
9,0.385298
9.05,0.382678
9.1,0.380119
9.15,0.377648
9.2,0.375287
9.25,0.373055
9.3,0.370966
9.35,0.369035
9.4,0.367275
9.45,0.365699
9.5,0.364324
9.55,0.363165
9.6,0.362244
9.65,0.36158
9.7,0.361196
9.75,0.361114
9.8,0.36135
9.85,0.36192
9.9,0.36283
9.95,0.364079
10,0.365655
10.05,0.367537
10.1,0.369695
10.15,0.372089
10.2,0.374672
10.25,0.377397
10.3,0.380215
10.35,0.383081
10.4,0.385961
10.45,0.388829
10.5,0.391675
10.55,0.394502
10.6,0.397322
10.65,0.400153
10.7,0.403016
10.75,0.405923
10.8,0.408881
10.85,0.411887
10.9,0.414927
10.95,0.417982
11,0.421026
11.05,0.424031
11.1,0.426969
11.15,0.429814
11.2,0.432543
11.25,0.435136
11.3,0.437574
11.35,0.439842
11.4,0.441923
11.45,0.443801
11.5,0.445455
11.55,0.446865
11.6,0.448007
11.65,0.448859
11.7,0.449401
11.75,0.44962
11.8,0.449509
11.85,0.449068
11.9,0.448307
11.95,0.447242
12,0.445894
12.05,0.444289
12.1,0.442454
12.15,0.440415
12.2,0.438201
12.25,0.435838
12.3,0.433353
12.35,0.430771
12.4,0.428115
12.45,0.425403
12.5,0.422651
12.55,0.419867
12.6,0.417052
12.65,0.414199
12.7,0.411296
12.75,0.40833
12.8,0.40529
12.85,0.40217
12.9,0.398976
12.95,0.395722
13,0.392431
13.05,0.389132
13.1,0.385856
13.15,0.382637
13.2,0.379503
13.25,0.376478
13.3,0.373584
13.35,0.370834
13.4,0.368237
13.45,0.365797
13.5,0.363514
13.55,0.361386
13.6,0.359412
13.65,0.357589
13.7,0.355914
13.75,0.354384
13.8,0.352991
13.85,0.351723
13.9,0.350562
13.95,0.349486
14,0.348467
14.05,0.347478
14.1,0.346492
14.15,0.345489
14.2,0.344458
14.25,0.343397
14.3,0.342313
14.35,0.341224
14.4,0.340154
14.45,0.339133
14.5,0.338192
14.55,0.337363
14.6,0.336673
14.65,0.336141
14.7,0.335781
14.75,0.335594
14.8,0.335572
14.85,0.335694
14.9,0.335929
14.95,0.336238
15,0.336574
15.05,0.336889
15.1,0.337136
15.15,0.337273
15.2,0.337273
15.25,0.337123
15.3,0.33683
15.35,0.336418
15.4,0.33593
15.45,0.335415
15.5,0.334927
15.55,0.334513
15.6,0.334211
15.65,0.334047
15.7,0.334038
