t,order
0.000000000000000000e+00,1.088579598446644259e-01
5.000000000000000278e-02,1.102471207892877780e-01
1.000000000000000056e-01,1.115348947418132036e-01
1.500000000000000222e-01,1.127185721612447844e-01
2.000000000000000111e-01,1.137919949214629550e-01
2.500000000000000000e-01,1.147455596851478937e-01
3.000000000000000444e-01,1.155666348339234872e-01
3.500000000000000333e-01,1.162401687453684385e-01
4.000000000000000222e-01,1.167499914584406856e-01
4.500000000000000111e-01,1.170800584537119715e-01
5.000000000000000000e-01,1.172154684276979775e-01
5.500000000000000444e-01,1.171434061441047336e-01
6.000000000000000888e-01,1.168540102809611514e-01
6.500000000000000222e-01,1.163409736383648752e-01
7.000000000000000666e-01,1.156016946531009670e-01
7.500000000000000000e-01,1.146378682037531016e-01
8.000000000000000444e-01,1.134553941161903223e-01
8.500000000000000888e-01,1.120641045362226196e-01
9.000000000000000222e-01,1.104773691240408112e-01
9.500000000000000666e-01,1.087115900076469910e-01
1.000000000000000000e+00,1.067859210304122342e-01
1.050000000000000044e+00,1.047213720231718048e-01
1.100000000000000089e+00,1.025394341208230586e-01
1.150000000000000133e+00,1.002610848235168522e-01
1.200000000000000178e+00,9.790585782450401953e-02
1.250000000000000000e+00,9.549101721257435837e-02
1.300000000000000044e+00,9.303052637534259262e-02
1.350000000000000089e+00,9.053408369454661597e-02
1.400000000000000133e+00,8.800745111715149727e-02
1.450000000000000178e+00,8.545313140560661935e-02
1.500000000000000000e+00,8.287161745743613916e-02
1.550000000000000044e+00,8.026310332545588677e-02
1.600000000000000089e+00,7.762960063591893556e-02
1.650000000000000133e+00,7.497798706560197812e-02
1.700000000000000178e+00,7.232177046891008487e-02
1.750000000000000000e+00,6.968377160115762914e-02
1.800000000000000044e+00,6.709767684304039637e-02
1.850000000000000089e+00,6.460788304232599477e-02
1.900000000000000133e+00,6.226842362033457867e-02
1.950000000000000178e+00,6.014081465784621577e-02
2.000000000000000000e+00,5.829084115068573074e-02
2.050000000000000266e+00,5.678407369850661801e-02
2.100000000000000089e+00,5.567976564811377010e-02
2.149999999999999911e+00,5.502506682922672643e-02
