t,order
0.000000000000000000e+00,1.088579598446644120e-01
5.000000000000000278e-02,1.102661608540558003e-01
1.000000000000000056e-01,1.116113617610612757e-01
1.500000000000000222e-01,1.128904685478176600e-01
2.000000000000000111e-01,1.140961018288397244e-01
2.500000000000000000e-01,1.152166911123174015e-01
3.000000000000000444e-01,1.162372032806700678e-01
3.500000000000000333e-01,1.171403010700998587e-01
4.000000000000000222e-01,1.179076753708315356e-01
4.500000000000000111e-01,1.185214339010494944e-01
5.000000000000000000e-01,1.189653123053497630e-01
5.500000000000000444e-01,1.192256493374123788e-01
6.000000000000000888e-01,1.192921162626984083e-01
6.500000000000000222e-01,1.191581123902459988e-01
7.000000000000000666e-01,1.188209584017969056e-01
7.500000000000000000e-01,1.182818386216263062e-01
8.000000000000000444e-01,1.175455999208703251e-01
8.500000000000000888e-01,1.166204461070084603e-01
9.000000000000000222e-01,1.155175632333441255e-01
9.500000000000000666e-01,1.142507028963517801e-01
1.000000000000000000e+00,1.128357457729774610e-01
1.050000000000000044e+00,1.112901577570418882e-01
1.100000000000000089e+00,1.096324055989489621e-01
1.150000000000000133e+00,1.078812456747987591e-01
1.200000000000000178e+00,1.060549478493167386e-01
1.250000000000000000e+00,1.041706433302781454e-01
1.300000000000000044e+00,1.022438396405869199e-01
1.350000000000000089e+00,1.002884654999257330e-01
1.400000000000000133e+00,9.831755807014611048e-02
1.450000000000000178e+00,9.634466235661738598e-02
1.500000000000000000e+00,9.438590778922903435e-02
1.550000000000000044e+00,9.246228731661954026e-02
1.600000000000000089e+00,9.060161987619554103e-02
1.650000000000000133e+00,8.883948825599202737e-02
1.700000000000000178e+00,8.721867640143932121e-02
1.750000000000000000e+00,8.578710985571248726e-02
1.800000000000000044e+00,8.459472553090993663e-02
1.850000000000000089e+00,8.368997918001261360e-02
1.900000000000000133e+00,8.311662641727032841e-02
1.950000000000000178e+00,8.291122703959097340e-02
2.000000000000000000e+00,8.310179486225008350e-02
2.050000000000000266e+00,8.370826893914345979e-02
2.100000000000000089e+00,8.474533414343700388e-02
2.149999999999999911e+00,8.622761587065837230e-02
2.200000000000000178e+00,8.817399979608919747e-02
2.250000000000000000e+00,9.059815492513753621e-02
2.300000000000000266e+00,9.345209552630001637e-02
2.350000000000000089e+00,9.651640780564235689e-02
2.400000000000000355e+00,9.945445799098934225e-02
2.450000000000000178e+00,1.021661907150473586e-01
2.500000000000000000e+00,1.048301367363486114e-01
2.550000000000000266e+00,1.076220545839221276e-01
2.600000000000000089e+00,1.106223623031731690e-01
2.650000000000000355e+00,1.138548406632552967e-01
2.700000000000000178e+00,1.173219802011081225e-01
2.750000000000000000e+00,1.210202306768595054e-01
2.800000000000000266e+00,1.249447438679360811e-01
2.850000000000000089e+00,1.290896343896253406e-01
2.900000000000000355e+00,1.334464861414881021e-01
2.950000000000000178e+00,1.380026203787325656e-01
3.000000000000000000e+00,1.427401865278392357e-01
3.050000000000000266e+00,1.476365867964624656e-01
3.100000000000000089e+00,1.526657972567770083e-01
3.150000000000000355e+00,1.577997777930948697e-01
