variant,seed,lam_f,lam_b,d_lam,max_gap
base,51,3.9,3.15,0.75,0.7685289912819238
base,52,3.75,3.15,0.6000000000000001,0.7662604157427216
meanfreq,51,3.9,3.15,0.75,0.7871291894689721
meanfreq,52,4.05,3.15,0.8999999999999999,0.7672919364431978
inertia,51,5.55,3.3,2.25,0.8910389882020956
inertia,52,5.85,3.3,2.55,0.893766342704117
contrarian,51,,,,0.18859304867638602
contrarian,52,,,,0.026871941215068945
common,51,3.9,3.15,0.75,0.7800851441492438
common,52,4.05,3.0,1.0499999999999998,0.7884346839946678
asym,51,3.6,2.55,1.0500000000000003,0.7855288576585102
asym,52,3.75,4.199999999999999,-0.4499999999999993,0.29581439804348925
lag,51,4.05,3.3,0.75,0.6876566886012334
lag,52,3.75,3.45,0.2999999999999998,0.6507593510559306
liq_common,51,3.9,4.05,-0.1499999999999999,0.02914155842059149
liq_common,52,3.45,4.05,-0.5999999999999996,0.7811071992848679
