n,seed,lam_f,lam_b,d_lam,dR_jump,max_gap
125,81,5.800000000000001,5.800000000000001,0.0,0.10469418705475059,0.13171039486536962
125,82,5.4,5.4,0.0,0.22035326685745266,0.13382575636560387
125,83,6.2,6.2,0.0,0.22497767866199783,0.09038189677858896
250,81,5.4,5.2,0.20000000000000018,0.23633989120930254,0.28891558382079485
250,82,5.0,5.0,0.0,0.1772426420872305,0.03166531830676622
250,83,5.4,5.4,0.0,0.34926806294026347,0.2217308129845172
500,81,5.6,5.4,0.1999999999999993,0.17675574418466217,0.1388179703923244
500,82,5.4,5.4,0.0,0.381663314411696,0.32987479050608437
500,83,5.800000000000001,5.4,0.40000000000000036,0.34293382833717445,0.37962200986954675
1000,81,5.4,5.4,0.0,0.22095717874581705,0.17730169129063394
1000,82,5.6,5.4,0.1999999999999993,0.453812381170038,0.4509681586215511
1000,83,5.4,5.4,0.0,0.31428938353853986,0.22228106674168588
2000,81,5.800000000000001,5.4,0.40000000000000036,0.3208162810032058,0.40029785390443495
2000,82,6.0,5.6,0.40000000000000036,0.26044248001929593,0.3848747466775785
2000,83,5.6,5.6,0.0,0.24879788802000696,0.1687822449668543
4000,81,6.0,5.6,0.40000000000000036,0.5100403355496637,0.5128869075949908
4000,82,5.800000000000001,5.4,0.40000000000000036,0.424716618768885,0.3945723593687802
4000,83,6.0,5.6,0.40000000000000036,0.5227324486474546,0.5103141013451457
