lam_f,lam_b,d_lam,dR_jump,max_gap,area,R_end,rho_spearman,rho_pearson,tag,topo,law,c,sigma,seed,n_nodes,mean_deg
2.1,2.1,0.0,0.11707501791857228,0.07642911500026056,0.028893107075760923,0.9683519536301949,0.03677030050530121,0.044502253284605824,A,er,gauss,0.0,0.0,31,598,5.812709030100335
2.3000000000000003,2.3000000000000003,0.0,0.1157060118856254,0.038930787630634345,0.013776965844367025,0.9641649470166608,0.03525716591568054,0.037757581744502916,A,er,gauss,0.0,0.0,32,600,6.016666666666667
2.1,2.1,0.0,0.265817488725131,0.2596102307006685,0.04481121216041276,0.9683639856596047,-8.730014689738414e-05,-0.0028038093093232983,A,er,gauss,0.0,0.0,33,600,5.99
1.9000000000000001,1.8,0.10000000000000009,0.17016351442557787,0.13222546909220656,0.038955808709554646,0.9369974576017838,0.9911372606333253,0.9814147482600882,A,er,gauss,1.0,0.0,31,598,5.812709030100335
1.8,1.8,0.0,0.13966613583286325,0.10832294765610322,0.031245720443446177,0.9413656778039314,0.9913662329317273,0.9824175894997651,A,er,gauss,1.0,0.0,32,600,6.016666666666667
1.8,1.8,0.0,0.23523726458779354,0.2070059433502462,0.06082226399571243,0.9441696787071162,0.9917918459522667,0.9891323503527826,A,er,gauss,1.0,0.0,33,600,5.99
2.4000000000000004,2.4000000000000004,0.0,0.09532685076145653,0.035305968202631856,0.026043412279353327,0.9673232984085626,0.03677030050530121,0.04126117587383778,A,er,uniform,0.0,0.0,31,598,5.812709030100335
2.6,2.7,-0.10000000000000009,0.1950560726686125,0.08705460247248076,0.02518936969012127,0.9648548374480801,0.03525716591568054,0.03735875937761784,A,er,uniform,0.0,0.0,32,600,6.016666666666667
2.3000000000000003,2.3000000000000003,0.0,0.14550898064366868,0.13498655379701718,0.036346209797316634,0.9670712312282492,-8.730014689738414e-05,-0.004622193973918625,A,er,uniform,0.0,0.0,33,600,5.99
1.9000000000000001,1.9000000000000001,0.0,0.10906553580696729,0.12837302262204273,0.03473545876072992,0.9361705322251004,0.9911372606333253,0.9541131156126561,A,er,uniform,1.0,0.0,31,598,5.812709030100335
1.8,1.8,0.0,0.20414137283417746,0.16856806953624695,0.05041921180128973,0.9477332363961525,0.9913662329317273,0.9657177188123075,A,er,uniform,1.0,0.0,32,600,6.016666666666667
1.8,1.9000000000000001,-0.10000000000000009,0.11437202799782652,0.0412335469303351,0.022938048536197266,0.9452324221431765,0.9917918459522667,0.9758250376666109,A,er,uniform,1.0,0.0,33,600,5.99
3.8000000000000003,4.0,-0.19999999999999973,0.08178766595215732,0.10582204865799973,0.04144774674165411,0.7647636398533927,0.036764250305265735,0.05685045621313139,A,er,lorentz,0.0,0.0,31,598,5.812709030100335
4.2,4.2,0.0,0.15395688719101341,0.1545999892832527,0.0771998697972464,0.7585099940249688,0.03532834246165477,0.03894098864540632,A,er,lorentz,0.0,0.0,32,600,6.016666666666667
3.8000000000000003,3.7,0.10000000000000009,0.12096204481763637,0.08001012640113475,0.04590017348686032,0.7648368123584839,-6.579026128794047e-05,0.0047992197615326785,A,er,lorentz,0.0,0.0,33,600,5.99
4.5,4.4,0.09999999999999964,0.11206694834238137,0.12281469397799977,0.061772110240055134,0.7371975967613078,0.9911372856119426,0.8064465065636538,A,er,lorentz,1.0,0.0,31,598,5.812709030100335
4.0,4.0,0.0,0.14312079892203058,0.1810715322169004,0.057463615429786175,0.7605811318530337,0.9913625875072625,0.7747501671923465,A,er,lorentz,1.0,0.0,32,600,6.016666666666667
3.8000000000000003,3.7,0.10000000000000009,0.10176623669812976,0.08796928492712211,0.040421506650610624,0.7640164932482638,0.991790849654239,0.7696509290376852,A,er,lorentz,1.0,0.0,33,600,5.99
2.8000000000000003,2.8000000000000003,0.0,0.4411064326676646,0.3403327954908693,0.25172346941370105,0.9592768374347654,0.037958375159615296,0.03713865203819337,A,er,bimodal,0.0,0.0,31,598,5.812709030100335
2.6,2.6,0.0,0.24939117579958175,0.2256082034406907,0.1374290786371426,0.9739495293041284,-0.0076473520712685575,-0.027266464536884694,A,er,bimodal,0.0,0.0,32,600,6.016666666666667
2.7,2.7,0.0,0.12695250767798089,0.2600995960239899,0.14329359013486037,0.9593682449921034,-0.0715275562572145,-0.08015041855113175,A,er,bimodal,0.0,0.0,33,600,5.99
2.3000000000000003,2.3000000000000003,0.0,0.1935413402145154,0.3732764754344099,0.10813507767535042,0.9516538223374796,0.9911372606333253,0.8020842284427349,A,er,bimodal,1.0,0.0,31,598,5.812709030100335
2.1,2.2,-0.10000000000000009,0.1699403923216,0.3162517840536597,0.0944874034036638,0.9673050927714738,0.9913662329317273,0.8187793880792342,A,er,bimodal,1.0,0.0,32,600,6.016666666666667
1.6,2.1,-0.5,0.18738360895243733,0.31797093529045956,0.09789169014283833,0.9623343703246783,0.9917918459522667,0.828121972560918,A,er,bimodal,1.0,0.0,33,600,5.99
2.1,2.1,0.0,0.07904026377616569,0.06277535644129723,0.0225162900572506,0.9674501153255988,0.026894491565908674,0.024346080375019195,A,ba,gauss,0.0,0.0,31,600,5.97
2.1,2.0,0.10000000000000009,0.08786732920945575,0.030004916687417726,0.02227526747350103,0.9728439043948047,-0.07632297816224612,-0.07930275249191354,A,ba,gauss,0.0,0.0,32,600,5.97
1.9000000000000001,1.9000000000000001,0.0,0.10825362854704396,0.08797696532628388,0.03208731164191733,0.9697930072953058,-0.02402035282047805,-0.044577043673727494,A,ba,gauss,0.0,0.0,33,600,5.97
1.4000000000000001,1.4000000000000001,0.0,0.09683221750492849,0.022402978224569662,0.011076298596436693,0.9840080117369461,0.965091880200385,0.6435728561039581,A,ba,gauss,1.0,0.0,31,600,5.97
