c,stat,spearman_vs_dR,spearman_vs_lam_f
0.0,kappa,-0.665134642062501,-0.11187753111233252
0.0,clustering,-0.05991712703227052,0.3705383830440453
0.0,assortativity,0.7397336563608156,0.5288043403927875
0.0,path_len,0.578024049017198,0.3776985450352346
0.0,eigenratio,-0.5251559957534299,0.07249664016079148
0.0,cv_k,-0.665134642062501,-0.11187753111233252
1.0,kappa,-0.2771394341927087,-0.14979753497408976
1.0,clustering,-0.05639259014801931,0.13275470165368436
1.0,assortativity,0.2667891875399663,0.431237537469163
1.0,path_len,0.18327591798106277,0.4126159645992892
1.0,eigenratio,-0.2819629507400966,-0.005381947364338555
1.0,cv_k,-0.2771394341927087,-0.14979753497408976
