topo,law,c,lam_f,lam_b,d_lam,dR_jump,area,rho_spearman,n,mean_deg,k2,kappa,k_max,cv_k,clustering,transitivity,C_rand,clustering_ratio,assortativity,path_len,small_world_sigma,lam_max_A,mu2_L,muN_L,eigenratio,g0,lam_c_theory,ratio
ba,bimodal,0.0,2.6666666666666665,2.6666666666666665,0.0,0.120862890257657,0.08798580135718086,-0.001153783609236,600,5.97,82.56333333333333,2.316533346052803,79.0,1.147402869986302,0.0506038537770569,0.0297676037949342,0.0099666110183639,5.077338092538882,-0.0657713654013239,3.2280189204229277,5.631298423516169,13.55576303163251,1.2403027914997806,80.18714528040191,64.65126566669997,0.0,,
ba,bimodal,1.0,1.3333333333333333,2.2,-0.8666666666666668,0.2191515430972342,0.09951578906350374,0.963345411787189,600,5.97,82.56333333333333,2.316533346052803,79.0,1.147402869986302,0.0506038537770569,0.0297676037949342,0.0099666110183639,5.077338092538882,-0.0657713654013239,3.2280189204229277,5.631298423516169,13.55576303163251,1.2403027914997806,80.18714528040191,64.65126566669997,0.0,,
ba,gauss,0.0,2.033333333333333,2.0,0.03333333333333333,0.09172040717755507,0.025626289724222966,-0.024482946472271835,600,5.97,82.56333333333333,2.316533346052803,79.0,1.147402869986302,0.0506038537770569,0.0297676037949342,0.0099666110183639,5.077338092538882,-0.0657713654013239,3.2280189204229277,5.631298423516169,13.55576303163251,1.2403027914997806,80.18714528040191,64.65126566669997,0.3989422804014327,0.6888608464561065,2.9517330587069375
ba,gauss,1.0,1.3999999999999997,1.4333333333333333,-0.033333333333333263,0.08629326126625599,0.0104450050900428,0.963345411787189,600,5.97,82.56333333333333,2.316533346052803,79.0,1.147402869986302,0.0506038537770569,0.0297676037949342,0.0099666110183639,5.077338092538882,-0.0657713654013239,3.2280189204229277,5.631298423516169,13.55576303163251,1.2403027914997806,80.18714528040191,64.65126566669997,0.3989422804014327,0.6888608464561065,2.0323407945195306
ba,lorentz,0.0,3.8333333333333335,3.8000000000000003,0.03333333333333333,0.06579148452436456,0.026728855413827402,-0.024510016451870797,600,5.97,82.56333333333333,2.316533346052803,79.0,1.147402869986302,0.0506038537770569,0.0297676037949342,0.0099666110183639,5.077338092538882,-0.0657713654013239,3.2280189204229277,5.631298423516169,13.55576303163251,1.2403027914997806,80.18714528040191,64.65126566669997,0.3183098861837907,0.8633590375065605,4.440022246601206
ba,lorentz,1.0,5.266666666666667,4.966666666666668,0.2999999999999998,0.37674209040093914,0.2567231619380897,0.9633453198579902,600,5.97,82.56333333333333,2.316533346052803,79.0,1.147402869986302,0.0506038537770569,0.0297676037949342,0.0099666110183639,5.077338092538882,-0.0657713654013239,3.2280189204229277,5.631298423516169,13.55576303163251,1.2403027914997806,80.18714528040191,64.65126566669997,0.3183098861837907,0.8633590375065605,6.100204477939047
ba,uniform,0.0,2.366666666666667,2.366666666666667,0.0,0.08951276952199409,0.024798050294238937,-0.024482946472271835,600,5.97,82.56333333333333,2.316533346052803,79.0,1.147402869986302,0.0506038537770569,0.0297676037949342,0.0099666110183639,5.077338092538882,-0.0657713654013239,3.2280189204229277,5.631298423516169,13.55576303163251,1.2403027914997806,80.18714528040191,64.65126566669997,0.2886751345948129,0.9519895690018269,2.486021636926282
ba,uniform,1.0,1.6000000000000003,1.6000000000000003,0.0,0.050505755711716005,0.010558215324307167,0.963345411787189,600,5.97,82.56333333333333,2.316533346052803,79.0,1.147402869986302,0.0506038537770569,0.0297676037949342,0.0099666110183639,5.077338092538882,-0.0657713654013239,3.2280189204229277,5.631298423516169,13.55576303163251,1.2403027914997806,80.18714528040191,64.65126566669997,0.2886751345948129,0.9519895690018269,1.6806906841191764
er,bimodal,0.0,2.7000000000000006,2.7000000000000006,0.0,0.27248337204840906,0.1774820460619013,-0.013738844389622603,598,5.812709030100335,39.74916387959866,1.1764428380173235,16.0,0.4200509945439047,0.0129378935817062,0.0124174632896422,0.009736531038694,1.3287990897671562,0.0127986388542973,3.779955332216639,1.2770070327741672,7.055570371024691,0.3239858450961752,17.61745150457594,54.37722595364066,0.0,,
er,bimodal,1.0,2.0,2.2,-0.19999999999999998,0.18362178049618424,0.10017139040728416,0.9914317798391065,598,5.812709030100335,39.74916387959866,1.1764428380173235,16.0,0.4200509945439047,0.0129378935817062,0.0124174632896422,0.009736531038694,1.3287990897671562,0.0127986388542973,3.779955332216639,1.2770070327741672,7.055570371024691,0.3239858450961752,17.61745150457594,54.37722595364066,0.0,,
er,gauss,0.0,2.1666666666666665,2.1666666666666665,0.0,0.16619950617644286,0.029160428360180197,0.02398005542469477,598,5.812709030100335,39.74916387959866,1.1764428380173235,16.0,0.4200509945439047,0.0129378935817062,0.0124174632896422,0.009736531038694,1.3287990897671562,0.0127986388542973,3.779955332216639,1.2770070327741672,7.055570371024691,0.3239858450961752,17.61745150457594,54.37722595364066,0.3989422804014327,1.3564357485444034,1.597323477349904
er,gauss,1.0,1.8333333333333333,1.8,0.03333333333333333,0.1816889716154115,0.0436745977162377,0.9914317798391065,598,5.812709030100335,39.74916387959866,1.1764428380173235,16.0,0.4200509945439047,0.0129378935817062,0.0124174632896422,0.009736531038694,1.3287990897671562,0.0127986388542973,3.779955332216639,1.2770070327741672,7.055570371024691,0.3239858450961752,17.61745150457594,54.37722595364066,0.3989422804014327,1.3564357485444034,1.3515814039114573
er,lorentz,0.0,3.9333333333333336,3.966666666666667,-0.033333333333333236,0.118902199320269,0.05484926334192027,0.02400893416854415,598,5.812709030100335,39.74916387959866,1.1764428380173235,16.0,0.4200509945439047,0.0129378935817062,0.0124174632896422,0.009736531038694,1.3287990897671562,0.0127986388542973,3.779955332216639,1.2770070327741672,7.055570371024691,0.3239858450961752,17.61745150457594,54.37722595364066,0.3183098861837907,1.700040100010834,2.313670914767403
er,lorentz,1.0,4.1000000000000005,4.033333333333334,0.06666666666666654,0.11898466132084717,0.05321907744015061,0.9914302409244814,598,5.812709030100335,39.74916387959866,1.1764428380173235,16.0,0.4200509945439047,0.0129378935817062,0.0124174632896422,0.009736531038694,1.3287990897671562,0.0127986388542973,3.779955332216639,1.2770070327741672,7.055570371024691,0.3239858450961752,17.61745150457594,54.37722595364066,0.3183098861837907,1.700040100010834,2.4117078179355134
er,uniform,0.0,2.4333333333333336,2.466666666666667,-0.03333333333333333,0.14529730135791252,0.02919299725559703,0.02398005542469477,598,5.812709030100335,39.74916387959866,1.1764428380173235,16.0,0.4200509945439047,0.0129378935817062,0.0124174632896422,0.009736531038694,1.3287990897671562,0.0127986388542973,3.779955332216639,1.2770070327741672,7.055570371024691,0.3239858450961752,17.61745150457594,54.37722595364066,0.2886751345948129,1.8745624610234517,1.2980806902560136
er,uniform,1.0,1.8333333333333333,1.8666666666666665,-0.03333333333333333,0.14252631221299036,0.036030906366072264,0.9914317798391065,598,5.812709030100335,39.74916387959866,1.1764428380173235,16.0,0.4200509945439047,0.0129378935817062,0.0124174632896422,0.009736531038694,1.3287990897671562,0.0127986388542973,3.779955332216639,1.2770070327741672,7.055570371024691,0.3239858450961752,17.61745150457594,54.37722595364066,0.2886751345948129,1.8745624610234517,0.9780059995079552
ring,bimodal,0.0,,,,0.14784255228039253,0.1868470872856265,0.0,600,6.0,36.0,1.0,6.0,0.0,0.6,0.6,0.010016694490818,59.9,,50.41736227045075,4.241686514333321,5.999999999999999,0.0015351735878058,8.630895778186485,5622.097622537971,0.0,,
