lam_f,lam_b,d_lam,dR_jump,max_gap,area,R_end,topo,law,c,sigma,seed,rho_spearman,rho_pearson,mean_deg,std_deg
0.375,0.25,0.125,0.3387889933392902,0.2680434064781387,0.05183018719580532,0.9764369036471857,ba,degree,-1.0,0.0,31,-0.9344418321874027,-0.18244791226371462,5.97,6.849995133818223
0.375,0.25,0.125,0.30691706374843974,0.2587117706007877,0.052777411925275006,0.9726241016742031,ba,degree,-1.0,0.0,32,-0.9353003566372087,-0.18180862643405307,5.97,6.87404053911041
0.375,0.375,0.0,0.2828280333940831,0.27111733087194734,0.06666925867613127,0.9761713426144211,ba,degree,-0.5,0.0,31,-0.4111385846947028,-0.1326138954146311,5.97,6.849995133818223
0.375,0.375,0.0,0.2755627118445846,0.29563916158710685,0.05552272005215381,0.9729571340900375,ba,degree,-0.5,0.0,32,-0.46354461238930483,-0.1421281302620747,5.97,6.87404053911041
0.5,0.5,0.0,0.35053489750978967,0.21479275637434758,0.05489411337925635,0.9795761642608912,ba,degree,0.0,0.0,31,0.026277683430533213,0.025164224930079616,5.97,6.849995133818223
0.5,0.5,0.0,0.2085282260879404,0.29546405466725484,0.0797881039275081,0.9789353215933942,ba,degree,0.0,0.0,32,-0.06896934881307543,-0.020652904647591303,5.97,6.87404053911041
0.625,0.625,0.0,0.2739614255952835,0.11939662979203398,0.03608058469343789,0.9838478284277444,ba,degree,0.25,0.0,31,0.24819073836627795,0.21419960459566942,5.97,6.849995133818223
0.625,0.625,0.0,0.21745761501758648,0.20524060976586458,0.0671006439408977,0.9827514940101748,ba,degree,0.25,0.0,32,0.13578012838461145,0.06703217400444282,5.97,6.87404053911041
0.75,0.75,0.0,0.3188412924113644,0.16537342660565177,0.04588500357488204,0.989203666296983,ba,degree,0.5,0.0,31,0.4694587068787835,0.3671470575907897,5.97,6.849995133818223
0.75,0.75,0.0,0.21184737503127565,0.08363452586709169,0.02800074034071401,0.9859065874575375,ba,degree,0.5,0.0,32,0.3685222554803241,0.23009255960715957,5.97,6.87404053911041
1.0,1.0,0.0,0.3292593796189997,0.22398868168780495,0.058404157273002674,0.9954537465010254,ba,degree,0.75,0.0,31,0.6927123217859286,0.628571408274507,5.97,6.849995133818223
1.0,0.875,0.125,0.22392484064289103,0.09192466643090039,0.02918473376844912,0.9931500476535261,ba,degree,0.75,0.0,32,0.6572790122209197,0.5026711146445371,5.97,6.87404053911041
1.5,1.125,0.375,0.46153698197977594,0.8329789395651979,0.39768993465493696,0.998259566508033,ba,degree,1.0,0.0,31,1.0,0.9999999999999993,5.97,6.849995133818223
1.625,1.125,0.5,0.6948431631263263,0.8401923912582153,0.45889233651832495,0.9983500384337519,ba,degree,1.0,0.0,32,0.9999999999999998,1.0,5.97,6.87404053911041
