lam_f,lam_b,d_lam,dR_jump,max_gap,area,R_end,topo,law,c,sigma,seed,rho_spearman,rho_pearson,mean_deg,std_deg
1.5,1.125,0.375,0.46153698197977594,0.8329789395651979,0.39768993465493696,0.998259566508033,ba,degree,1.0,0.0,31,1.0,0.9999999999999993,5.97,6.849995133818223
1.625,1.125,0.5,0.6948431631263263,0.8401923912582153,0.45889233651832495,0.9983500384337519,ba,degree,1.0,0.0,32,0.9999999999999998,1.0,5.97,6.87404053911041
1.625,1.125,0.5,0.7843547669386584,0.836970348492101,0.436116318872801,0.9981233631451444,ba,degree,1.0,0.05,31,1.0,0.9999999999999993,5.97,6.849995133818223
1.625,1.125,0.5,0.5057160069921931,0.8119219491883392,0.45014319224533533,0.9982186567818753,ba,degree,1.0,0.05,32,0.9999999999999998,1.0,5.97,6.87404053911041
1.5,1.125,0.375,0.5340399196012696,0.8348462784594245,0.2760982856656971,0.9977163159169381,ba,degree,1.0,0.1,31,1.0,0.9999999999999993,5.97,6.849995133818223
1.75,1.125,0.625,0.7439080970470542,0.8740776395940042,0.5359086652395724,0.9978181917091269,ba,degree,1.0,0.1,32,0.9999999999999998,1.0,5.97,6.87404053911041
1.5,1.125,0.375,0.596191533254085,0.7367495029059934,0.23774245535150296,0.9960871583136701,ba,degree,1.0,0.2,31,1.0,0.9999999999999993,5.97,6.849995133818223
1.625,1.125,0.5,0.6462572019333448,0.7684790818852767,0.3768600084287105,0.9962076823228628,ba,degree,1.0,0.2,32,0.9999999999999998,1.0,5.97,6.87404053911041
1.75,1.375,0.375,0.41492420829358523,0.6950180914814672,0.2588615953754184,0.9895296375021883,ba,degree,1.0,0.4,31,1.0,0.9999999999999993,5.97,6.849995133818223
1.625,1.375,0.25,0.48917017174062055,0.7604253057398391,0.23627210005668686,0.9897120752310714,ba,degree,1.0,0.4,32,0.9999999999999998,1.0,5.97,6.87404053911041
2.125,1.875,0.25,0.48907351566646023,0.491334925897519,0.16337959154133108,0.9625223857452619,ba,degree,1.0,0.8,31,1.0,0.9999999999999993,5.97,6.849995133818223
2.125,1.875,0.25,0.47041015572796446,0.5177566255407147,0.15523308065060437,0.9629789246689872,ba,degree,1.0,0.8,32,0.9999999999999998,1.0,5.97,6.87404053911041
