sigma_c,seed,measure,gap
0.0,41,mean_corr,-5.602729616230195e-05
0.0,41,absorption,-0.0013276686809880183
0.0,42,mean_corr,-7.745501440840113e-05
0.0,42,absorption,-0.00063938793697288
0.0,43,mean_corr,-2.4547998305296648e-05
0.0,43,absorption,-0.00047017847833058225
0.05,41,mean_corr,0.00023003232460257404
0.05,41,absorption,-0.0014019203761781451
0.05,42,mean_corr,0.00010588106069831265
0.05,42,absorption,-0.0008337796593871644
0.05,43,mean_corr,0.00015329568320101878
0.05,43,absorption,-0.001183377735118311
0.1,41,mean_corr,0.00019316380962552875
0.1,41,absorption,-0.0016552322832033596
0.1,42,mean_corr,0.0004599015010982999
0.1,42,absorption,-0.0007654063516617359
0.1,43,mean_corr,7.160446225673002e-05
0.1,43,absorption,-0.0005082425122094862
0.2,41,mean_corr,0.0015762291024737421
0.2,41,absorption,0.0012032333567038873
0.2,42,mean_corr,-0.00020208821949410107
0.2,42,absorption,-0.0008254071384419191
0.2,43,mean_corr,2.7725724338494566e-05
0.2,43,absorption,0.00014804869421758868
0.3,41,mean_corr,-0.0008744874147606335
0.3,41,absorption,-0.0010870832579142435
0.3,42,mean_corr,0.002055445110322613
0.3,42,absorption,0.0025609410465172733
0.3,43,mean_corr,-0.00042601414507093183
0.3,43,absorption,-4.5447129423895755e-05
0.5,41,mean_corr,0.004365052024969016
0.5,41,absorption,0.003582113833012304
0.5,42,mean_corr,0.0003909002357979253
0.5,42,absorption,8.538859100070083e-05
0.5,43,mean_corr,0.003087906455073758
0.5,43,absorption,0.0029953275563154545
0.8,41,mean_corr,-0.001424448536782466
0.8,41,absorption,5.635407414142137e-05
0.8,42,mean_corr,0.003959160910885154
0.8,42,absorption,0.004223109935155566
0.8,43,mean_corr,0.005754268048312412
0.8,43,absorption,0.005968983880459656
