sigma_c,seed,R_max,crashed,frac_crashed,mc_calm,mc_crash,ab_calm,ab_crash,theory_crash,corr_theory_measured
0.0,41,0.9496203162940667,True,0.43916666666666665,0.0005366889648333439,0.00016225031506363627,0.034093936624800106,0.030015965335774476,0.0,
0.0,42,0.9488108077736617,True,0.504375,0.0005066723068817901,8.374010430915148e-05,0.034284005065460824,0.02969641338497343,0.0,
0.0,43,0.9500882983813524,True,0.4527083333333333,0.0006638892260276441,4.960440844664989e-05,0.03419870122020944,0.029761609946703953,0.0,
0.05,41,0.9477580669675634,True,0.45916666666666667,0.0005993585364255303,0.00036747679592955896,0.034163198470493816,0.030002881149439838,8.166222794682757e-05,0.08516101591315395
0.05,42,0.9456025637871115,True,0.49354166666666666,0.00046220471875269557,0.0002103699419234889,0.034361753891169085,0.029694925748900994,0.00011971909821674735,0.2783818296988972
0.05,43,0.9509580115395557,True,0.47375,0.0004970478525224166,0.0008792227611773881,0.033942804705680917,0.029760085621719,0.00041642055728779726,0.3977815522969931
0.1,41,0.9469039988479356,True,0.4535416666666667,0.0005043202109151108,0.001790804972106886,0.034018809034431746,0.030202345070850213,0.0008415033709770795,0.5188690024792426
0.1,42,0.9474819665051435,True,0.50375,0.000541194551440498,0.001329202167763045,0.03419125969870048,0.0298341313594541,0.000759751677892387,0.49855493293087155
0.1,43,0.9506778043478179,True,0.47208333333333335,0.0004705401174055213,0.004641959871512051,0.03410137912649201,0.030433539438204302,0.0026761139858979557,0.7362911565110721
0.2,41,0.9488047019188325,True,0.435625,0.0005592157944617473,0.014038333754853879,0.033734946136852295,0.0381002854617183,0.007286181698900384,0.6245056556875473
0.2,42,0.9454944577394273,True,0.474375,0.0004849055485180442,0.01083878943126182,0.03414753534105002,0.03372097399794791,0.008925361547361538,0.45748158226275293
0.2,43,0.9505966762212793,True,0.47979166666666667,0.000475346865686208,0.019180871374147715,0.03404295331231887,0.04040392593363327,0.011816671878639834,0.5884222522296653
0.3,41,0.9479183412095928,True,0.43625,0.0005108857165949145,0.037400612011525655,0.03381539682251809,0.0601322824436345,0.022703123128231185,0.5314663150579956
0.3,42,0.9463429897840314,True,0.4791666666666667,0.0006265967616763271,0.025219121266408875,0.033928745885311605,0.04807536772899936,0.025512987530599402,0.5107174929393845
0.3,43,0.9502040754018123,True,0.44604166666666667,0.0007253992338471707,0.03402509912287712,0.033875819212474664,0.05612057661869412,0.02923780257550589,0.6419137281766493
0.5,41,0.9479864827583075,True,0.43,0.0006920658927037779,0.06879635622452815,0.033460534580663046,0.08987024763519993,0.06571045876438289,0.6727930724434708
0.5,42,0.9458510365561732,True,0.4075,0.0006593568265862888,0.06449948585918847,0.03363068350127493,0.08682818064128722,0.0543736537686174,0.6149700013211581
0.5,43,0.9484538514066918,True,0.4422916666666667,0.000644230855313381,0.07928701761788179,0.03350938205480802,0.1015168994657762,0.06630036161015045,0.6320219975053571
0.8,41,0.9490327194985567,True,0.46625,0.0005676302847985317,0.0943076200688112,0.03286429275637518,0.11550652933052766,0.13178691417400568,0.6810131405023664
0.8,42,0.9448247330180487,True,0.38354166666666667,0.0006455617134810398,0.09258290321627496,0.03317063192867401,0.11525758007704123,0.13278634719539767,0.7025360636086982
0.8,43,0.9496674350870211,True,0.434375,0.0006891496449679803,0.09952278598380224,0.03289292952325041,0.12084110248726873,0.14767112389395332,0.7115184827937158
