market,index_source,n_constituents,start,end,n_events,n_events_scored,median_stocks_in_window
au_asx200,official,193,2000-01-04,2026-09-16,10,9,145.0
br_b3,official,68,2000-01-03,2026-09-16,25,22,55.0
ca_tsx60,official,59,2000-01-04,2026-09-16,11,8,52.0
ch_smi,official,20,2000-01-04,2026-09-16,15,14,18.0
crypto,official,39,2014-09-17,2026-09-16,9,9,33.0
de_dax,official,40,2000-01-03,2026-09-16,23,21,34.0
es_ibex35,official,35,2000-01-03,2026-09-16,20,17,28.0
eu_stoxx50,official,50,2007-03-30,2026-09-16,13,10,47.0
fr_cac40,official,40,2000-01-03,2026-09-16,18,16,39.0
hk_hsi,official,85,2000-01-03,2026-09-16,24,21,59.0
in_nifty50,official,50,2007-09-17,2026-09-16,12,8,45.0
it_ftsemib,official,40,2000-01-03,2026-09-16,23,20,29.0
jp_largecap,official,60,2000-01-04,2026-09-16,25,22,59.0
kr_kospi200,official,200,2000-01-04,2026-09-16,22,18,150.0
nl_aex,official,25,2000-01-03,2026-09-16,15,15,15.0
se_omx30,official,30,2008-11-20,2026-09-16,13,11,28.0
sg_sti,official,30,2000-01-03,2026-09-16,11,10,27.0
uk_ftse100,official,100,2000-01-04,2026-09-16,10,8,89.0
uk_ftse250,official,247,2000-01-04,2026-09-16,17,15,184.0
us_sp400_mid,official,399,2000-01-03,2026-09-15,14,12,295.0
us_sp500,official,500,2000-01-03,2026-09-15,14,11,447.0
us_sp600_small,official,596,2000-01-03,2026-09-15,20,17,396.0
world_indices,equal-weight,33,2000-01-04,2026-09-16,12,10,18.0
