market,n_events,indicator,null,auc_level,auc_trend
au_asx200,9,var_index,all,0.6566907464740281,0.5827313381492948
au_asx200,9,var_index,volmatched,0.5467980295566502,0.5287356321839082
au_asx200,9,var_index,peak,0.60843158270811,0.5650232225794928
au_asx200,9,ac1_index,all,0.5056759545923633,0.4853801169590644
au_asx200,9,ac1_index,volmatched,0.5030103995621237,0.48987411056376573
au_asx200,9,ac1_index,peak,0.5301893533404788,0.4867809932118614
au_asx200,9,mean_corr,all,0.6119711042311661,0.5464396284829722
au_asx200,9,mean_corr,volmatched,0.5101258894362343,0.4994526546250684
au_asx200,9,mean_corr,peak,0.5780635941407646,0.5103608431582708
au_asx200,9,absorption,all,0.6250429996560027,0.5325077399380805
au_asx200,9,absorption,volmatched,0.5177887246852764,0.48494800218938156
au_asx200,9,absorption,peak,0.5766345123258306,0.5046445158985352
au_asx200,9,cssd,all,0.6047471620227038,0.5927072583419332
au_asx200,9,cssd,volmatched,0.5659551176792557,0.5517241379310345
au_asx200,9,cssd,peak,0.5434083601286173,0.5146480886030725
au_asx200,9,flicker,all,0.5810113519091846,0.562178072111847
au_asx200,9,flicker,volmatched,0.4630541871921182,0.524904214559387
au_asx200,9,flicker,peak,0.5630582350839586,0.5663956639566395
br_b3,22,var_index,all,0.7816205533596837,0.7361660079051383
br_b3,22,var_index,volmatched,0.7315340909090909,0.6576704545454546
br_b3,22,var_index,peak,0.490539916935856,0.35613751730503
br_b3,22,ac1_index,all,0.6096837944664032,0.4540513833992094
br_b3,22,ac1_index,volmatched,0.6846590909090909,0.5461647727272727
br_b3,22,ac1_index,peak,0.5209967697277342,0.4012459621596678
br_b3,22,mean_corr,all,0.6314229249011858,0.6027667984189723
br_b3,22,mean_corr,volmatched,0.5298295454545454,0.5348011363636364
br_b3,22,mean_corr,peak,0.5108444854637748,0.40459160129210886
br_b3,22,absorption,all,0.5958498023715417,0.5415019762845849
br_b3,22,absorption,volmatched,0.5056818181818182,0.4758522727272727
br_b3,22,absorption,peak,0.47461928934010156,0.39086294416243655
br_b3,22,cssd,all,0.5859683794466404,0.5474308300395258
br_b3,22,cssd,volmatched,0.6321022727272727,0.5411931818181818
br_b3,22,cssd,peak,0.4215505306875864,0.4618135671435164
br_b3,22,flicker,all,0.5019762845849802,0.467391304347826
br_b3,22,flicker,volmatched,0.5056818181818182,0.48011363636363635
br_b3,22,flicker,peak,0.422242731887402,0.4203968620212274
ca_tsx60,8,var_index,all,0.545804794520548,0.549443493150685
ca_tsx60,8,var_index,volmatched,0.43145161290322576,0.4506048387096774
ca_tsx60,8,var_index,peak,0.5259502923976609,0.5153508771929824
ca_tsx60,8,ac1_index,all,0.6314212328767124,0.5455907534246576
ca_tsx60,8,ac1_index,volmatched,0.6300403225806452,0.5191532258064516
ca_tsx60,8,ac1_index,peak,0.6173245614035088,0.5230263157894737
ca_tsx60,8,mean_corr,all,0.5898972602739726,0.6106592465753424
ca_tsx60,8,mean_corr,volmatched,0.5131048387096775,0.516633064516129
ca_tsx60,8,mean_corr,peak,0.5665204678362573,0.5323464912280702
ca_tsx60,8,absorption,all,0.6352739726027397,0.6530393835616438
ca_tsx60,8,absorption,volmatched,0.5241935483870968,0.5398185483870969
ca_tsx60,8,absorption,peak,0.6162280701754386,0.5519005847953216
ca_tsx60,8,cssd,all,0.4863013698630137,0.5663527397260273
ca_tsx60,8,cssd,volmatched,0.4022177419354839,0.5120967741935485
ca_tsx60,8,cssd,peak,0.4652777777777778,0.5308845029239766
ca_tsx60,8,flicker,all,0.5761986301369864,0.632277397260274
ca_tsx60,8,flicker,volmatched,0.5221774193548387,0.6169354838709677
ca_tsx60,8,flicker,peak,0.5361842105263157,0.5529970760233919
ch_smi,14,var_index,all,0.7544351073762838,0.7969187675070029
ch_smi,14,var_index,volmatched,0.7578277886497066,0.7999021526418788
ch_smi,14,var_index,peak,0.6203599550056244,0.6761811023622047
ch_smi,14,ac1_index,all,0.5891690009337066,0.4598506069094304
ch_smi,14,ac1_index,volmatched,0.5983365949119372,0.478228962818004
ch_smi,14,ac1_index,peak,0.5247469066366703,0.4384139482564679
ch_smi,14,mean_corr,all,0.6820728291316527,0.6598972922502335
ch_smi,14,mean_corr,volmatched,0.6854207436399218,0.6612035225048924
ch_smi,14,mean_corr,peak,0.6003937007874016,0.6171259842519684
ch_smi,14,absorption,all,0.661531279178338,0.6407563025210085
ch_smi,14,absorption,volmatched,0.663894324853229,0.6416340508806263
ch_smi,14,absorption,peak,0.5880202474690664,0.6022215973003374
ch_smi,14,cssd,all,0.6680672268907563,0.6552287581699348
ch_smi,14,cssd,volmatched,0.6692759295499021,0.6577788649706457
ch_smi,14,cssd,peak,0.5989876265466816,0.5707255343082115
ch_smi,14,flicker,all,0.6704014939309056,0.6115779645191411
ch_smi,14,flicker,volmatched,0.6717221135029355,0.6125244618395305
ch_smi,14,flicker,peak,0.6077052868391453,0.579865016872891
crypto,9,var_index,all,0.4627450980392156,0.5
crypto,9,var_index,volmatched,0.460093896713615,0.4968701095461659
crypto,9,var_index,peak,0.48124557678697805,0.48761500353857046
crypto,9,ac1_index,all,0.542483660130719,0.6006535947712418
crypto,9,ac1_index,volmatched,0.5336463223787167,0.5923317683881064
crypto,9,ac1_index,peak,0.4805378627034679,0.6415428167020524
crypto,9,mean_corr,all,0.43495934959349597,0.43597560975609756
crypto,9,mean_corr,volmatched,0.42512077294685996,0.41908212560386476
crypto,9,mean_corr,peak,0.4274193548387097,0.3346774193548387
crypto,9,absorption,all,0.4329268292682927,0.43495934959349586
crypto,9,absorption,volmatched,0.4202898550724638,0.41304347826086957
crypto,9,absorption,peak,0.4422043010752688,0.3884408602150537
crypto,9,cssd,all,0.5508130081300813,0.46951219512195125
crypto,9,cssd,volmatched,0.5434782608695652,0.4710144927536231
crypto,9,cssd,peak,0.6357526881720429,0.5456989247311828
crypto,9,flicker,all,0.3882113821138211,0.43089430894308944
crypto,9,flicker,volmatched,0.38405797101449274,0.4227053140096619
crypto,9,flicker,peak,0.46236559139784944,0.6196236559139785
de_dax,21,var_index,all,0.7720364741641339,0.8252279635258359
de_dax,21,var_index,volmatched,0.7606837606837608,0.8137973137973137
de_dax,21,var_index,peak,0.5917219208358449,0.5986538075145669
de_dax,21,ac1_index,all,0.4620060790273556,0.472644376899696
de_dax,21,ac1_index,volmatched,0.4444444444444445,0.5073260073260073
de_dax,21,ac1_index,peak,0.4962829013461925,0.4115933293148484
de_dax,21,mean_corr,all,0.8500506585612969,0.8915906788247214
de_dax,21,mean_corr,volmatched,0.8229548229548229,0.8815628815628817
de_dax,21,mean_corr,peak,0.5760498292143862,0.5458107293550333
de_dax,21,absorption,all,0.8480243161094226,0.8865248226950355
de_dax,21,absorption,volmatched,0.8266178266178267,0.8742368742368741
de_dax,21,absorption,peak,0.5804701627486437,0.5484227446252762
de_dax,21,cssd,all,0.6757852077001014,0.754305977710233
de_dax,21,cssd,volmatched,0.6593406593406593,0.7612942612942613
de_dax,21,cssd,peak,0.6045810729355033,0.6352220212979708
de_dax,21,flicker,all,0.7436676798378926,0.8085106382978722
de_dax,21,flicker,volmatched,0.7142857142857143,0.7985347985347986
de_dax,21,flicker,peak,0.5678119349005426,0.5792646172393009
es_ibex35,17,var_index,all,0.7808661926308984,0.6641887524240466
es_ibex35,17,var_index,volmatched,0.7545388525780682,0.6485112563543936
es_ibex35,17,var_index,peak,0.6031183557760453,0.5618946373730216
es_ibex35,17,ac1_index,all,0.3031674208144796,0.29638009049773756
es_ibex35,17,ac1_index,volmatched,0.3188090050835149,0.29084967320261434
es_ibex35,17,ac1_index,peak,0.34443656980864634,0.3744389321993858
es_ibex35,17,mean_corr,all,0.47640594699418226,0.4531351001939237
es_ibex35,17,mean_corr,volmatched,0.46187363834422657,0.4560639070442991
es_ibex35,17,mean_corr,peak,0.5088589652728561,0.4599574769666903
es_ibex35,17,absorption,all,0.44473173884938594,0.45959922430510664
es_ibex35,17,absorption,volmatched,0.43209876543209874,0.4651416122004357
es_ibex35,17,absorption,peak,0.48051027639971655,0.4684620836286322
es_ibex35,17,cssd,all,0.5436328377504849,0.6447963800904978
es_ibex35,17,cssd,volmatched,0.5475671750181554,0.617283950617284
es_ibex35,17,cssd,peak,0.4982282069454288,0.5763052208835342
es_ibex35,17,flicker,all,0.48610213316095674,0.519715578539108
es_ibex35,17,flicker,volmatched,0.4778503994190269,0.5170660856935366
es_ibex35,17,flicker,peak,0.5256319395227971,0.4996456413890857
eu_stoxx50,10,var_index,all,0.6782608695652175,0.696195652173913
eu_stoxx50,10,var_index,volmatched,0.6256410256410255,0.6858974358974359
eu_stoxx50,10,var_index,peak,0.47967032967032963,0.5807692307692307
eu_stoxx50,10,ac1_index,all,0.6358695652173914,0.6222826086956522
eu_stoxx50,10,ac1_index,volmatched,0.6346153846153846,0.6403846153846154
eu_stoxx50,10,ac1_index,peak,0.6631868131868133,0.5928571428571429
eu_stoxx50,10,mean_corr,all,0.6923913043478261,0.6809782608695653
eu_stoxx50,10,mean_corr,volmatched,0.6692307692307692,0.6891025641025641
eu_stoxx50,10,mean_corr,peak,0.5774725274725274,0.6131868131868132
eu_stoxx50,10,absorption,all,0.691304347826087,0.6711956521739131
eu_stoxx50,10,absorption,volmatched,0.6666666666666666,0.6762820512820513
eu_stoxx50,10,absorption,peak,0.578021978021978,0.6043956043956044
eu_stoxx50,10,cssd,all,0.5554347826086956,0.5119565217391304
eu_stoxx50,10,cssd,volmatched,0.5230769230769231,0.4717948717948718
eu_stoxx50,10,cssd,peak,0.5043956043956045,0.4689560439560439
eu_stoxx50,10,flicker,all,0.6891304347826087,0.741304347826087
eu_stoxx50,10,flicker,volmatched,0.6641025641025641,0.7371794871794872
eu_stoxx50,10,flicker,peak,0.5818681318681319,0.6225274725274726
fr_cac40,16,var_index,all,0.7988636363636363,0.8198863636363636
fr_cac40,16,var_index,volmatched,0.7988636363636363,0.8198863636363636
fr_cac40,16,var_index,peak,0.5905172413793103,0.6339798850574713
fr_cac40,16,ac1_index,all,0.6,0.6008522727272727
fr_cac40,16,ac1_index,volmatched,0.6,0.6008522727272727
fr_cac40,16,ac1_index,peak,0.5359195402298851,0.48551245210727967
fr_cac40,16,mean_corr,all,0.6840909090909091,0.6761363636363635
fr_cac40,16,mean_corr,volmatched,0.6840909090909091,0.6761363636363635
fr_cac40,16,mean_corr,peak,0.5519636015325671,0.5393917624521073
fr_cac40,16,absorption,all,0.6880681818181817,0.6775568181818182
fr_cac40,16,absorption,volmatched,0.6880681818181817,0.6775568181818182
fr_cac40,16,absorption,peak,0.5483716475095786,0.5390325670498084
fr_cac40,16,cssd,all,0.70625,0.7213068181818182
fr_cac40,16,cssd,volmatched,0.70625,0.7213068181818182
