indicator,score,null,auc,ci_lo,ci_hi,event_median,null_median
var_index,trend,all,0.6239168229410846,0.5505778791901734,0.6955007685352622,-0.010980392156862747,-0.3003921568627451
var_index,trend,volmatched,0.6187840235248372,0.5486331161305062,0.6886529192835197,-0.010980392156862747,-0.287843137254902
var_index,trend,peak,0.5659493799617363,0.49145271084044956,0.6439623080858247,-0.010980392156862747,-0.15450980392156866
var_index,level,all,0.626095874355368,0.5633398887787335,0.6928806682552376,-0.43552720058139904,-0.7016570592967345
var_index,level,volmatched,0.6088242441916982,0.5441521755690828,0.6771598112182763,-0.43552720058139904,-0.6197564496833903
var_index,level,peak,0.5672486742219595,0.4998891833723522,0.6336164871067529,-0.43552720058139904,-0.5512626758141561
ac1_index,trend,all,0.4696476011876856,0.41141221737152006,0.5214832559259993,-0.052549019607843146,0.016470588235294122
ac1_index,trend,volmatched,0.4709220375230873,0.41458189503574544,0.5255795098574787,-0.052549019607843146,0.014901960784313727
ac1_index,trend,peak,0.46895385889865615,0.40853377574101746,0.5245068556802527,-0.052549019607843146,0.010196078431372551
ac1_index,level,all,0.5131758868573214,0.4647214351988108,0.5648948258887265,-0.004540885997305082,-0.02106711449680649
ac1_index,level,volmatched,0.5142728686691941,0.46473656610797914,0.5612707491192612,-0.004540885997305082,-0.04430009068318713
ac1_index,level,peak,0.5162181373639528,0.4657413492575829,0.5667489595846921,-0.004540885997305082,-0.01829577909897672
mean_corr,trend,all,0.5944262460822971,0.533819449435458,0.6524163243243791,-0.04000000000000001,-0.1654901960784314
mean_corr,trend,volmatched,0.5987047820051381,0.5418773439815959,0.6578555430689458,-0.04000000000000001,-0.1686274509803922
mean_corr,trend,peak,0.5279620156650724,0.46946119176160606,0.5873268014383846,-0.04000000000000001,-0.057254901960784324
mean_corr,level,all,0.5887718663740065,0.5239142086150709,0.6551017069495295,-0.12339548121038893,-0.5702684839651639
mean_corr,level,volmatched,0.5770199671348402,0.5124743094864146,0.6463324046582796,-0.12339548121038893,-0.5256945091684617
mean_corr,level,peak,0.5420960672826345,0.476426617349534,0.6116519509596183,-0.12339548121038893,-0.37677229511324617
absorption,trend,all,0.5902042260640987,0.5263253150722466,0.6546270042328874,-0.04941176470588236,-0.167843137254902
absorption,trend,volmatched,0.5934378552898537,0.530143546026916,0.6532991020093276,-0.04941176470588236,-0.17019607843137258
absorption,trend,peak,0.5251522839121092,0.46192127634067826,0.5890809718346307,-0.04941176470588236,-0.05411764705882354
absorption,level,all,0.5867380025940337,0.5228089064006378,0.6542453697191198,-0.14986418533830512,-0.5764276668871235
absorption,level,volmatched,0.5723718207091847,0.5049039454321084,0.6425675617477132,-0.14986418533830512,-0.5142067910493007
absorption,level,peak,0.5375167432070418,0.468989662328684,0.6066212513907112,-0.14986418533830512,-0.3731707224321698
cssd,trend,all,0.6080861389141644,0.5331579502199223,0.6867704870097723,-0.03215686274509804,-0.2921078431372549
cssd,trend,volmatched,0.6005546447572566,0.5254436186671751,0.6783692770292853,-0.03215686274509804,-0.28156862745098044
cssd,trend,peak,0.570688847300201,0.49524045214819445,0.6518165058041715,-0.03215686274509804,-0.1741935483870968
cssd,level,all,0.5806229006618111,0.5083391714921118,0.6549758310543851,-0.1979151087513905,-0.6265887741228111
cssd,level,volmatched,0.5714688039355512,0.49929340220480295,0.6497498077146013,-0.1979151087513905,-0.5629209155305626
cssd,level,peak,0.5513976591401964,0.4738717086160126,0.6329824056257356,-0.1979151087513905,-0.4296777149851576
flicker,trend,all,0.6097874267800526,0.5483535954668736,0.6657062892062784,0.04444105781400981,-0.16737013452897245
flicker,trend,volmatched,0.6128246681867576,0.5545941655871536,0.6718307350474501,0.04444105781400981,-0.17322673545232237
flicker,trend,peak,0.5515362105784838,0.49109044612769787,0.6081285108302071,0.04444105781400981,-0.06176376757264188
flicker,level,all,0.5944265688915494,0.5301437887790558,0.6614995359643855,-0.07948399594415953,-0.5139104370805279
flicker,level,volmatched,0.5833449601587449,0.5185365904912782,0.6524843272429834,-0.07948399594415953,-0.4315630081201524
flicker,level,peak,0.547134975306617,0.47457749744350697,0.6158638070410439,-0.07948399594415953,-0.29576028554149525
