kind,event,lag,mean_corr
crash onset,559748,0,0.27392831444740295
crash onset,559748,10,0.28767129778862
crash onset,559748,20,0.2612820267677307
crash onset,559748,30,0.23334309458732605
crash onset,559748,40,0.051354825496673584
crash onset,559748,50,0.10313956439495087
crash onset,559748,60,0.14306765794754028
crash onset,559748,70,0.12739381194114685
crash onset,559748,80,0.16610170900821686
crash onset,559748,90,0.20644621551036835
crash onset,562325,-90,0.32003411650657654
crash onset,562325,-80,0.29246383905410767
crash onset,562325,-70,0.3674733340740204
crash onset,562325,-60,0.3276642858982086
crash onset,562325,-50,0.3898701071739197
crash onset,562325,-40,0.3269648253917694
crash onset,562325,-30,0.3525772988796234
crash onset,562325,-20,0.25746697187423706
crash onset,562325,-10,0.3365144729614258
crash onset,562325,0,0.3531687259674072
crash onset,562325,10,0.519425630569458
crash onset,562325,20,0.45948466658592224
crash onset,562325,30,0.4682683050632477
crash onset,562325,40,0.4696088433265686
crash onset,562325,50,0.4481552541255951
crash onset,562325,60,0.41061851382255554
crash onset,562325,70,0.3403477072715759
crash onset,562325,80,0.27965104579925537
crash onset,562325,90,0.3029518127441406
crash onset,563865,-90,0.2987622022628784
crash onset,563865,-80,0.28577616810798645
crash onset,563865,-70,0.2856787443161011
crash onset,563865,-60,0.296853244304657
crash onset,563865,-50,0.23668165504932404
crash onset,563865,-40,0.22071324288845062
crash onset,563865,-30,0.20820267498493195
crash onset,563865,-20,0.25255781412124634
crash onset,563865,-10,0.19442011415958405
crash onset,563865,0,0.2931003272533417
crash onset,563865,10,0.35014352202415466
crash onset,563865,20,0.5039301514625549
crash onset,563865,30,0.5002799034118652
crash onset,563865,40,0.5072512626647949
crash onset,563865,50,0.49845921993255615
crash onset,563865,60,0.4765460193157196
crash onset,563865,70,0.4718548655509949
crash onset,563865,80,0.5061376094818115
crash onset,563865,90,0.5065352916717529
crash onset,564649,-90,0.42992448806762695
crash onset,564649,-80,0.45863908529281616
crash onset,564649,-70,0.48286569118499756
crash onset,564649,-60,0.47657889127731323
crash onset,564649,-50,0.43649914860725403
crash onset,564649,-40,0.42446884512901306
crash onset,564649,-30,0.4359235167503357
crash onset,564649,-20,0.4610694944858551
crash onset,564649,-10,0.4999890625476837
crash onset,564649,0,0.4696159362792969
crash onset,564649,10,0.46838659048080444
crash onset,564649,20,0.5303153991699219
crash onset,564649,30,0.5482556819915771
crash onset,564649,40,0.5510640740394592
crash onset,564649,50,0.5350372791290283
crash onset,564649,60,0.5293782353401184
crash onset,564649,70,0.5371842980384827
crash onset,564649,80,0.505431592464447
crash onset,564649,90,0.5243407487869263
crash onset,565639,-40,0.5173109173774719
crash onset,565639,-30,0.43266162276268005
