detector,budget,threshold,TP,FP,TN,FN,precision,recall,specificity,f1,alarms,crashes,false_alarms_per_catch
mean_corr,0.01,0.6576420068740845,5,388,2299,5,0.01272264631043257,0.5,0.8556010420543357,0.02481389578163772,393,10,77.6
mean_corr,0.02,0.6077505946159363,3,561,2131,7,0.005319148936170213,0.3,0.7916047548291233,0.010452961672473868,564,10,187.0
mean_corr,0.05,0.5297573804855347,6,856,1835,4,0.0069605568445475635,0.6,0.6819026384243776,0.013761467889908256,862,10,142.66666666666666
mean_corr,0.1,0.4570663869380951,3,1199,1495,7,0.0024958402662229617,0.3,0.5549368968077208,0.0049504950495049506,1202,10,399.6666666666667
volatility,0.01,0.002407068624385018,4,261,2432,6,0.01509433962264151,0.4,0.903082064611957,0.02909090909090909,265,10,65.25
volatility,0.02,0.0018419769000449892,3,431,2263,7,0.0069124423963133645,0.3,0.8400148478099481,0.013513513513513514,434,10,143.66666666666666
volatility,0.05,0.0012061822989527181,5,900,1792,5,0.0055248618784530384,0.5,0.6656760772659732,0.01092896174863388,905,10,180.0
volatility,0.1,0.000836068230626395,4,1456,1237,6,0.0027397260273972603,0.4,0.4593390271073153,0.0054421768707483,1460,10,364.0
corr | vol,0.01,0.2698521614074707,2,549,2140,8,0.003629764065335753,0.2,0.7958348828560803,0.007130124777183601,551,10,274.5
corr | vol,0.02,0.23463480174541473,1,780,1910,9,0.0012804097311139564,0.1,0.7100371747211895,0.0025284450063211123,781,10,780.0
corr | vol,0.05,0.17859899997711182,1,1173,1516,9,0.0008517887563884157,0.1,0.56377835626627,0.0016891891891891893,1174,10,1173.0
corr | vol,0.1,0.12835004925727844,2,1581,1109,8,0.0012634238787113076,0.2,0.41226765799256504,0.002510985561833019,1583,10,790.5
